Date,Open,High,Low,Close,Change,Rate,Volume,Amount
2016/1/5,3382.18,3518.22,3377.28,3478.78,9.71,0.28,1621169.84,19601708.59
2016/1/6,3482.41,3543.74,3468.47,3539.81,61.03,1.75,1459661.44,16094719.84
2016/1/7,3481.15,3481.15,3284.74,3294.38,-245.42,-6.93,441026.41,4713079.56
2016/1/8,3371.87,3418.85,3237.93,3361.56,67.18,2.04,1859594.51,20349886.83
2016/1/11,3303.12,3342.48,3192.45,3192.45,-169.11,-5.03,1746383.87,18446405.02
2016/1/12,3214.82,3242.25,3174.55,3215.71,23.26,0.73,1282257.96,14204890.97
2016/1/13,3240.48,3257.3,3155.88,3155.88,-59.83,-1.86,1206664.94,13088608.24
2016/1/14,3076.64,3226.66,3072.04,3221.57,65.69,2.08,1345376.71,14477158.06
2016/1/15,3200.89,3216.8,3101.05,3118.73,-102.84,-3.19,1246017.79,13188273.73
2016/1/18,3068.23,3165.62,3066.73,3130.73,12,0.38,1011283.86,10945828.78
2016/1/19,3132.7,3227.91,3119.22,3223.13,92.4,2.95,1276538.93,14290768.63
2016/1/20,3204.22,3225.95,3154.43,3174.38,-48.75,-1.51,1306505.04,14331333.72
2016/1/21,3136.38,3202.54,3081.35,3081.35,-93.03,-2.93,1111897.33,12185619.54
2016/1/22,3114.9,3132.17,3053.96,3113.46,32.12,1.04,899510.87,9688567.38
2016/1/25,3129.03,3149.33,3105.1,3128.89,15.42,0.5,815400.61,8577789.14
2016/1/26,3099.6,3106.53,2934.65,2940.51,-188.38,-6.02,1269339.21,12725065.25
2016/1/27,2953.18,2963.54,2839.29,2930.35,-10.16,-0.35,1322293.66,12699767.08
2016/1/28,2909.33,2941.89,2841.84,2853.76,-76.6,-2.61,992227.56,9566387.49
2016/1/29,2855.6,2965.31,2854.37,2946.09,92.33,3.24,1133042.59,10946235.67
2016/2/1,2939.04,2944.52,2869.56,2901.05,-45.04,-1.53,867953.42,8293145.35
2016/2/2,2901.53,2972.43,2901.51,2961.33,60.29,2.08,886019.63,8874023.04
2016/2/3,2931.29,2954.71,2909.9,2948.64,-12.7,-0.43,773890,7481709.23
2016/2/4,2960.33,2999.21,2960.21,2984.76,36.12,1.23,917797.24,9155034.69
2016/2/5,2982.06,2988.36,2962.85,2963.79,-20.97,-0.7,768508.08,7744322.23
2016/2/15,2888.43,2961.49,2886.02,2946.71,-17.08,-0.58,729194.34,7128504.91
2016/2/16,2962.19,3042.09,2962.19,3037.04,90.33,3.07,1125796.43,11230049.23
2016/2/17,3034.09,3065.78,3027.05,3063.32,26.28,0.87,1282916.07,12227934.02
2016/2/18,3079.53,3093.51,3049.84,3053.7,-9.62,-0.31,1244014.64,12261861.22
2016/2/19,3047.94,3065.97,3032.63,3051.59,-2.11,-0.07,873380.12,9084934.18
2016/2/22,3083.93,3128.21,3071.33,3118.87,67.28,2.2,1409469.68,14168408.06
2016/2/23,3117.2,3119.22,3061.43,3089.36,-29.5,-0.95,1125673.91,11747646.91
2016/2/24,3077.61,3109.55,3055.25,3109.55,20.18,0.65,1117826.5,11291860.75
2016/2/25,3104.41,3104.44,2905.46,2918.75,-190.8,-6.14,1578297.52,15349300.82
2016/2/26,2942.1,2964.39,2902.95,2948.03,29.28,1,1069497.29,10253157.19
2016/2/29,2939.58,2939.87,2821.21,2877.47,-70.56,-2.39,1293410.2,11844082.96
